time,AvgResponseTime,nrOfInstances,AvgMemory,AvgCPU,numebrOfRequest,Latency
2020-06-30 12:01:33.487,,,,,1.0,5643.0
2020-06-30 12:01:36.998,,,,10.44909958090318,,
2020-06-30 12:01:41.298,,,38.64501363713476,,,
2020-06-30 12:01:41.998,,,,14.62578410851361,,
2020-06-30 12:01:46.998,,,,14.62578410851361,,
2020-06-30 12:01:51.998,,,,14.9908288772031,,
2020-06-30 12:01:56.998,,,,14.9908288772031,,
2020-06-30 12:02:01.998,,,,14.8569600686355,,
2020-06-30 12:02:12.087,,,,,1.0,153.0
2020-06-30 12:02:13.147,,,,,1.0,96.0
2020-06-30 12:02:16.998,,,,9.614591295696382,,
2020-06-30 12:02:17.398,385.0,1.0,,,,
2020-06-30 12:02:21.998,,,,12.33162357893318,,
2020-06-30 12:02:22.401,385.0,1.0,,,,
2020-06-30 12:02:26.998,,,,12.33162357893318,,
2020-06-30 12:02:27.486,385.0,1.0,,,,
2020-06-30 12:02:32.404,385.0,1.0,,,,
2020-06-30 12:02:36.998,,,,12.602657463214019,,
2020-06-30 12:02:37.425,223.5,1.0,,,,
2020-06-30 12:02:41.298,,,39.77043612731472,,,
2020-06-30 12:02:41.998,,,,12.55344860575422,,
2020-06-30 12:02:42.450,62.0,1.0,,,,
2020-06-30 12:02:46.249,,,,,1.0,85.0
2020-06-30 12:02:46.998,,,,12.55344860575422,,
2020-06-30 12:02:47.437,62.0,1.0,,,,
2020-06-30 12:02:47.741,,,,,1.0,82.0
2020-06-30 12:02:51.998,,,,9.431755217381399,,
2020-06-30 12:02:52.428,62.0,1.0,,,,
2020-06-30 12:02:56.998,,,,9.431755217381399,,
2020-06-30 12:02:57.400,62.0,1.0,,,,
2020-06-30 12:03:01.998,,,,9.99740138664808,,
2020-06-30 12:03:02.399,62.0,1.0,,,,
2020-06-30 12:03:16.998,,,,9.900216043042107,,
2020-06-30 12:03:17.398,67.0,1.0,,,,
2020-06-30 12:03:20.873,,,,,1.0,82.0
2020-06-30 12:03:21.998,,,,9.967083311514198,,
2020-06-30 12:03:22.398,67.0,1.0,,,,
2020-06-30 12:03:26.998,,,,9.967083311514198,,
2020-06-30 12:03:27.412,67.0,8.0,,,,
2020-06-30 12:03:31.998,,,,9.233932954642821,,
2020-06-30 12:03:32.401,67.0,8.0,,,,
2020-06-30 12:03:36.998,,,,9.233932954642821,,
2020-06-30 12:03:37.453,58.0,8.0,,,,
2020-06-30 12:03:41.298,,,40.01887340301975,,,
2020-06-30 12:03:41.998,,,,9.233932954642821,,
2020-06-30 12:03:42.411,58.0,8.0,,,,
2020-06-30 12:03:46.998,,,,9.233932954642821,,
2020-06-30 12:03:47.453,58.0,8.0,,,,
2020-06-30 12:03:51.998,,,,9.075644541448849,,
2020-06-30 12:03:52.398,58.0,8.0,,,,
2020-06-30 12:03:53.986,,,,,1.0,94.0
2020-06-30 12:03:56.999,,,,9.075644541448849,,
2020-06-30 12:03:58.275,58.0,8.0,,,,
2020-06-30 12:04:01.998,,,,10.03897002879867,,
2020-06-30 12:04:02.398,58.0,8.0,,,,
2020-06-30 12:04:17.003,,,,10.10583729727075,,
2020-06-30 12:04:18.654,81.0,8.0,,,,
2020-06-30 12:04:22.016,,,,10.069370590834481,,
2020-06-30 12:04:22.903,81.0,8.0,,,,
2020-06-30 12:04:26.998,,,,10.069370590834481,,
2020-06-30 12:04:27.077,,,,,1.0,120.0
2020-06-30 12:04:27.400,81.0,8.0,,,,
2020-06-30 12:04:31.998,,,,9.83533515118219,,
2020-06-30 12:04:32.401,81.0,8.0,,,,
2020-06-30 12:04:36.998,,,,9.83533515118219,,
2020-06-30 12:04:41.298,,,39.94807775124301,,,
2020-06-30 12:04:41.998,,,,9.90535780280506,,
2020-06-30 12:04:42.398,97.0,8.0,,,,
2020-06-30 12:04:46.998,,,,9.90535780280506,,
2020-06-30 12:04:47.808,97.0,8.0,,,,
2020-06-30 12:04:51.998,,,,11.788282661369633,,
2020-06-30 12:04:52.398,97.0,8.0,,,,
2020-06-30 12:04:56.998,,,,16.58852086593781,,
2020-06-30 12:04:57.454,97.0,8.0,,,,
2020-06-30 12:05:00.100,,,,,1.0,6508.0
2020-06-30 12:05:00.649,,,,,1.0,5204.0
2020-06-30 12:05:01.998,,,,15.507778390430039,,
2020-06-30 12:05:02.852,97.0,8.0,,,,
2020-06-30 12:05:16.998,,,,20.779893415680032,,
